Sample,alkane,grams,27/27+31,27/29+27,29/29+31
Control,nC23,NA,26.16431703,35.70637095,38.95238399
Control,nC24,NA,26.16431703,35.70637095,38.95238399
Control,nC25,0.405564655,26.16431703,35.70637095,38.95238399
Control,nC26,NA,26.16431703,35.70637095,38.95238399
Control,nC27,0.911149029,26.16431703,35.70637095,38.95238399
Control,nC28,0.913489162,26.16431703,35.70637095,38.95238399
Control,nC29,0.494790726,26.16431703,35.70637095,38.95238399
Control,nC30,2.735864912,26.16431703,35.70637095,38.95238399
Control,nC31,3.758046852,26.16431703,35.70637095,38.95238399
Control,nC32,1.054309431,26.16431703,35.70637095,38.95238399
Control,nC33,0.575274354,26.16431703,35.70637095,38.95238399
Control,nC34,NA,26.16431703,35.70637095,38.95238399
Control,nC35,0.838397295,26.16431703,35.70637095,38.95238399
MW,nC23,0.255712494,19.27666369,28.1571042,37.86104269
MW,nC24,NA,19.27666369,28.1571042,37.86104269
MW,nC25,0.290102846,19.27666369,28.1571042,37.86104269
MW,nC26,0,19.27666369,28.1571042,37.86104269
MW,nC27,0.323585509,19.27666369,28.1571042,37.86104269
MW,nC28,0.279474059,19.27666369,28.1571042,37.86104269
MW,nC29,0.38691566,19.27666369,28.1571042,37.86104269
MW,nC30,0.289724325,19.27666369,28.1571042,37.86104269
MW,nC31,0.428343949,19.27666369,28.1571042,37.86104269
MW,nC32,0.288043096,19.27666369,28.1571042,37.86104269
MW,nC33,0.434617538,19.27666369,28.1571042,37.86104269
MW,nC34,NA,19.27666369,28.1571042,37.86104269
MW,nC35,NA,19.27666369,28.1571042,37.86104269
MB,nC23,0.250608369,70.00404375,60.13799912,60.73703729
MB,nC24,NA,70.00404375,60.13799912,60.73703729
MB,nC25,0.273479225,70.00404375,60.13799912,60.73703729
MB,nC26,NA,70.00404375,60.13799912,60.73703729
MB,nC27,0.299564255,70.00404375,60.13799912,60.73703729
MB,nC28,0.287578053,70.00404375,60.13799912,60.73703729
MB,nC29,0.362523825,70.00404375,60.13799912,60.73703729
MB,nC30,0.298103602,70.00404375,60.13799912,60.73703729
MB,nC31,0.391469172,70.00404375,60.13799912,60.73703729
MB,nC32,NA,70.00404375,60.13799912,60.73703729
MB,nC33,0.396583423,70.00404375,60.13799912,60.73703729
MB,nC34,NA,70.00404375,60.13799912,60.73703729
MB,nC35,NA,70.00404375,60.13799912,60.73703729
MR,nC23,0.261490717,24.88391781,35.26474622,37.8154037
MR,nC24,NA,24.88391781,35.26474622,37.8154037
MR,nC25,0.301248149,24.88391781,35.26474622,37.8154037
MR,nC26,0.291635456,24.88391781,35.26474622,37.8154037
MR,nC27,0.296684057,24.88391781,35.26474622,37.8154037
MR,nC28,0.394599519,24.88391781,35.26474622,37.8154037
MR,nC29,0.310524828,24.88391781,35.26474622,37.8154037
MR,nC30,0.566783012,24.88391781,35.26474622,37.8154037
MR,nC31,0.640490636,24.88391781,35.26474622,37.8154037
MR,nC32,0.434499549,24.88391781,35.26474622,37.8154037
MR,nC33,0.316562736,24.88391781,35.26474622,37.8154037
MR,nC34,NA,24.88391781,35.26474622,37.8154037
MR,nC35,NA,24.88391781,35.26474622,37.8154037
